"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"17/04/2022","566,44","554,93","572,61","554,33","10,15B","2,33%"
"10/04/2022","553,54","557,54","559,41","547,75","7,56B","-0,70%"
"03/04/2022","557,45","549,41","558,53","546,26","7,91B","1,55%"
"27/03/2022","548,96","543,74","551,64","542,34","10,84B","0,88%"
"20/03/2022","544,18","535,64","549,20","533,61","10,65B","1,43%"
"13/03/2022","536,52","538,48","546,13","534,35","14,50B","0,26%"
"06/03/2022","535,14","530,46","541,52","527,04","16,13B","0,38%"
"27/02/2022","533,11","539,44","540,47","522,42","8,37B","1,03%"
"20/02/2022","527,70","524,20","528,71","514,77","10,79B","0,77%"
"13/02/2022","523,68","515,87","525,23","509,68","7,27B","0,97%"
"06/02/2022","518,63","510,31","522,81","508,65","8,96B","2,13%"
"30/01/2022","507,80","509,46","509,46","501,55","5,45B","-0,07%"
"23/01/2022","508,18","510,53","511,21","497,74","3,91B","-1,08%"
"16/01/2022","513,72","512,06","513,72","498,55","3,43B","0,78%"
"09/01/2022","509,73","507,53","511,05","501,02","3,63B","0,40%"
"02/01/2022","507,70","497,79","509,32","496,97","3,78B","2,13%"
